,"A-traktorer","Järnväg","Mopeder och motorcyklar","Bussar","Flyg","Sjöfart","Lätta lastbilar","Tunga lastbilar","Personbilar","Totalt"
"1990",0.01,0.1,0.04,0.79,0.69,0.46,1.03,3.26,12.82,19.21
"1991",0.01,0.09,0.04,0.75,0.62,0.47,1.1,3,13,19.08
"1992",0.01,0.09,0.05,0.88,0.65,0.48,1.16,3.37,13.32,19.99
"1993",0.01,0.08,0.05,0.87,0.59,0.48,1.1,3.38,12.66,19.22
"1994",0.01,0.08,0.05,0.92,0.62,0.49,1.13,3.68,12.85,19.83
"1995",0,0.08,0.05,0.89,0.63,0.5,1.13,3.58,13.06,19.92
"1996",0,0.07,0.05,0.86,0.61,0.51,1.13,3.48,12.97,19.69
"1997",0,0.07,0.06,0.89,0.66,0.52,1.13,3.64,12.8,19.77
"1998",0,0.07,0.06,0.91,0.68,0.52,1.16,3.86,12.63,19.89
"1999",0,0.07,0.06,0.87,0.71,0.53,1.17,3.99,12.82,20.24
"2000",0,0.08,0.08,0.77,0.65,0.54,1.12,4.05,12.8,20.08
"2001",0,0.07,0.08,0.77,0.64,0.53,1.21,4.04,12.88,20.23
"2002",0,0.07,0.09,0.8,0.61,0.54,1.3,4.16,13.11,20.67
"2003",0,0.07,0.1,0.82,0.59,0.57,1.36,4.29,13.09,20.89
"2004",0,0.07,0.1,0.84,0.68,0.57,1.44,4.57,12.98,21.25
"2005",0,0.06,0.1,0.87,0.67,0.57,1.45,4.83,12.95,21.51
"2006",0,0.07,0.1,0.86,0.63,0.6,1.51,4.9,12.78,21.46
"2007",0,0.07,0.11,0.84,0.61,0.6,1.59,5.08,12.84,21.75
"2008",0,0.07,0.11,0.8,0.6,0.6,1.6,5,12.51,21.29
"2009",0.01,0.06,0.11,0.78,0.5,0.62,1.58,4.64,12.5,20.8
"2010",0.01,0.06,0.1,0.79,0.48,0.67,1.68,4.97,12.23,20.98
"2011",0.01,0.06,0.1,0.73,0.53,0.68,1.75,4.84,11.91,20.61
"2012",0.01,0.06,0.08,0.63,0.52,0.65,1.7,4.38,11.42,19.46
"2013",0.01,0.05,0.09,0.55,0.53,0.66,1.66,4.17,11.31,19.04
"2014",0.01,0.05,0.09,0.5,0.52,0.65,1.62,3.96,11.21,18.62
"2015",0.01,0.05,0.1,0.46,0.51,0.65,1.65,3.83,11.44,18.7
"2016",0.01,0.04,0.1,0.36,0.55,0.68,1.56,3.5,11.23,18.04
"2017",0.01,0.04,0.09,0.31,0.55,0.65,1.57,3.32,11.08,17.64
"2018",0.01,0.04,0.09,0.29,0.53,0.71,1.53,3.15,10.58,16.93
"2019",0.01,0.05,0.09,0.26,0.48,0.7,1.57,3.17,10.48,16.8
"2020",0.02,0.04,0.1,0.21,0.2,0.66,1.55,3.09,9.53,15.4
"2021",0.03,0.04,0.09,0.19,0.19,0.66,1.57,3.2,9.42,15.4
"2022",0.03,0.04,0.08,0.17,0.3,0.69,1.36,2.77,8.43,13.87
"2023 (preliminärt)",0.03,0.04,0.08,0.19,0.3,0.7,1.39,2.78,8.24,13.75
